timestamp,campaign_id,keyword_id,device,country,click_id,cpc
2025-06-10 07:16:21,4,48,desktop,CA,click_00000891,0.07
2025-06-10 21:08:19,6,27,tablet,IN,click_00079888,0.14
2025-06-10 00:36:24,9,10,desktop,US,click_00042128,0.31
2025-06-10 10:36:32,8,30,mobile,UK,click_00077880,0.24
2025-06-10 15:43:25,1,22,desktop,DE,click_00032891,0.36
2025-06-10 16:57:51,5,44,tablet,UK,click_00000191,0.4
2025-06-10 07:39:58,5,49,tablet,US,click_00044561,0.19
2025-06-10 22:29:49,5,26,desktop,DE,click_00090650,0.19
2025-06-10 20:35:49,4,12,mobile,UK,click_00009978,0.16
2025-06-10 05:08:30,3,15,desktop,CA,click_00092310,0.23
2025-06-10 07:57:22,5,41,desktop,CA,click_00015153,0.16
2025-06-10 10:04:39,2,31,mobile,UK,click_00072043,0.13
2025-06-10 06:10:16,10,35,tablet,DE,click_00006131,0.28
2025-06-10 10:29:41,4,7,mobile,IN,click_00072620,0.24
2025-06-10 14:16:23,10,6,desktop,US,click_00074397,0.21
2025-06-10 11:55:06,7,47,mobile,DE,click_00080449,0.37
2025-06-10 14:02:11,5,23,tablet,US,click_00070461,0.37
2025-06-10 10:02:21,9,11,desktop,CA,click_00045240,0.5
2025-06-10 12:50:58,10,27,mobile,CA,click_00005958,0.23
2025-06-10 06:22:41,2,25,mobile,IN,click_00071781,0.21
2025-06-10 14:04:20,1,10,tablet,IN,click_00014442,0.28
2025-06-10 04:53:43,7,25,tablet,IN,click_00092950,0.22
2025-06-10 07:42:49,3,49,mobile,CA,click_00000253,0.23
2025-06-10 18:49:09,2,37,tablet,CA,click_00037632,0.31
2025-06-10 02:28:09,8,12,mobile,CA,click_00060980,0.38
2025-06-10 18:08:34,5,5,tablet,DE,click_00029325,0.37
2025-06-10 16:37:13,1,12,mobile,US,click_00071471,0.44
2025-06-10 15:28:44,3,12,desktop,US,click_00034657,0.45
2025-06-10 04:39:28,2,17,desktop,UK,click_00018094,0.23
2025-06-10 01:54:50,6,30,tablet,US,click_00066348,0.28
2025-06-10 02:59:33,9,34,tablet,US,click_00085459,0.15
2025-06-10 20:31:00,3,26,mobile,DE,click_00044770,0.43
2025-06-10 15:08:14,10,14,desktop,DE,click_00086972,0.12
2025-06-10 17:24:29,7,50,mobile,DE,click_00037612,0.34
2025-06-10 20:46:51,1,42,mobile,DE,click_00030440,0.27
2025-06-10 06:41:49,4,35,desktop,IN,click_00097565,0.08
2025-06-10 15:11:50,4,18,mobile,IN,click_00017330,0.16
2025-06-10 03:04:18,5,44,mobile,UK,click_00001782,0.35
2025-06-10 01:35:05,6,12,desktop,US,click_00085968,0.12
2025-06-10 03:48:48,7,10,mobile,UK,click_00097608,0.07
2025-06-10 12:40:40,3,23,desktop,DE,click_00080505,0.16
2025-06-10 15:55:32,3,49,desktop,US,click_00056954,0.22
2025-06-10 22:06:15,5,9,mobile,CA,click_00013082,0.38
2025-06-10 06:06:40,10,26,tablet,CA,click_00076882,0.17
2025-06-10 10:16:03,7,12,mobile,IN,click_00016621,0.06
2025-06-10 07:29:31,4,9,mobile,US,click_00085553,0.32
2025-06-10 14:10:12,2,7,mobile,DE,click_00008625,0.31
2025-06-10 01:44:44,7,44,tablet,US,click_00030681,0.23
2025-06-10 10:33:52,4,48,mobile,US,click_00049413,0.4
2025-06-10 20:44:27,6,26,desktop,IN,click_00025022,0.33
2025-06-10 14:56:58,3,43,mobile,DE,click_00072573,0.37
2025-06-10 03:00:46,9,31,mobile,DE,click_00035003,0.17
2025-06-10 20:27:54,2,39,mobile,US,click_00008713,0.25
2025-06-10 15:15:36,4,26,mobile,UK,click_00023528,0.36
2025-06-10 05:55:27,8,4,desktop,CA,click_00076523,0.13
