timestamp,click_id,revenue
2025-06-10 05:10:25,click_00085946,0.73
2025-06-10 10:54:14,click_00050268,0.83
2025-06-10 21:20:42,click_00018461,0.6
2025-06-10 14:32:33,click_00089638,0.38
2025-06-10 16:42:06,click_00043035,0.21
2025-06-10 19:50:23,click_00015807,0.8
2025-06-10 08:57:51,click_00015418,0.38
2025-06-10 09:04:29,click_00011193,1.0
2025-06-10 07:45:39,click_00067948,0.16
2025-06-10 01:11:35,click_00086371,0.54
2025-06-10 20:36:41,click_00012178,0.59
2025-06-10 22:13:56,click_00044714,0.83
2025-06-10 22:33:50,click_00005427,0.81
2025-06-10 10:16:12,click_00091201,0.43
2025-06-10 20:56:20,click_00059323,0.75
2025-06-10 04:35:22,click_00013183,0.16
2025-06-10 13:24:51,click_00058936,0.79
2025-06-10 00:54:11,click_00096967,0.82
2025-06-10 00:13:59,click_00074260,0.24
2025-06-10 09:32:53,click_00013521,1.0
2025-06-10 00:30:37,click_00034499,0.38
2025-06-10 11:46:37,click_00057122,0.73
2025-06-10 04:37:10,click_00061410,0.49
2025-06-10 12:59:49,click_00021544,0.45
2025-06-10 22:13:15,click_00013082,0.41
2025-06-10 14:42:42,click_00072900,0.22
2025-06-10 09:57:48,click_00004774,0.56
2025-06-10 12:13:15,click_00061649,0.31
2025-06-10 20:08:00,click_00060921,0.28
2025-06-10 22:44:05,click_00008516,0.72
2025-06-10 23:38:28,click_00039748,0.81
2025-06-10 18:41:21,click_00062224,0.83
2025-06-10 21:12:21,click_00084585,0.71
2025-06-10 09:08:09,click_00011027,0.73
2025-06-10 00:22:00,click_00050320,0.15
2025-06-10 06:28:55,click_00093433,0.12
2025-06-10 18:58:16,click_00098735,0.53
2025-06-10 10:54:55,click_00065998,0.69
2025-06-10 07:37:20,click_00004153,0.98
2025-06-10 21:35:42,click_00070477,0.97
2025-06-10 17:30:14,click_00059627,0.63
2025-06-10 00:43:16,click_00084025,0.87
2025-06-10 19:17:26,click_00018320,0.87
2025-06-10 09:21:36,click_00054178,0.55
2025-06-10 03:54:05,click_00052841,0.56
2025-06-10 23:46:59,click_00052311,0.18
2025-06-10 18:28:20,click_00086595,0.71
2025-06-10 22:14:31,click_00066161,0.36
2025-06-10 06:57:32,click_00077993,0.19
2025-06-10 07:56:34,click_00094765,0.79
2025-06-10 08:34:54,click_00038896,0.33
2025-06-10 17:09:49,click_00066469,0.46
2025-06-10 15:17:39,click_00088709,0.82
2025-06-10 18:06:30,click_00004917,0.64
2025-06-10 16:18:56,click_00075547,0.89
2025-06-10 21:15:57,click_00037525,0.15
2025-06-10 05:08:28,click_00053235,0.81
2025-06-10 17:05:03,click_00005961,0.26
2025-06-10 08:00:18,click_00052685,0.23
2025-06-10 01:44:00,click_00016472,0.14
2025-06-10 06:07:40,click_00057127,0.34
2025-06-10 20:38:08,click_00008913,0.6
2025-06-10 18:03:00,click_00059037,0.3
2025-06-10 02:42:48,click_00032496,0.46
2025-06-10 09:12:28,click_00012733,0.91
2025-06-10 13:19:08,click_00006294,0.94
2025-06-10 10:05:38,click_00034087,0.5
2025-06-10 15:48:37,click_00019899,0.48
2025-06-10 15:47:19,click_00002619,0.43
2025-06-10 05:53:30,click_00044353,0.85
2025-06-10 17:44:43,click_00044737,0.33
2025-06-10 21:24:13,click_00030831,0.42
2025-06-10 14:44:39,click_00051159,0.38
2025-06-10 18:26:02,click_00070899,0.81
2025-06-10 01:38:24,click_00087987,0.61
2025-06-10 04:47:48,click_00087091,0.2
2025-06-10 10:13:39,click_00041755,0.12
2025-06-10 15:36:11,click_00055849,0.35
2025-06-10 13:49:42,click_00017760,0.64
2025-06-10 10:17:31,click_00056720,0.62
2025-06-10 11:31:23,click_00041320,0.62
2025-06-10 21:14:21,click_00046734,0.62
2025-06-10 05:00:21,click_00083131,0.13
2025-06-10 12:00:37,click_00004381,0.72
2025-06-10 13:11:16,click_00041839,0.67
2025-06-10 00:24:13,click_00035031,0.41
